iter	Passed	Remaining
0	196	97983
1	261	65071
2	327	54187
3	383	47523
4	444	44013
5	505	41582
6	562	39606
7	626	38549
8	689	37641
9	751	36840
10	811	36052
11	871	35431
12	933	34959
13	994	34516
14	1057	34196
15	1118	33845
16	1181	33573
17	1244	33322
18	1304	33021
19	1362	32702
20	1426	32536
21	1494	32462
22	1558	32329
23	1618	32096
24	1679	31919
25	1739	31710
26	1805	31627
27	1873	31575
28	1936	31454
29	2000	31346
30	2060	31174
31	2120	31005
32	2185	30923
33	2248	30821
34	2309	30685
35	2375	30619
36	2436	30491
37	2497	30366
38	2564	30316
39	2633	30282
40	2697	30199
41	2761	30111
42	2822	29994
43	2885	29908
44	2948	29810
45	3021	29817
46	3089	29773
47	3150	29671
48	3213	29576
49	3274	29471
50	3337	29383
51	3404	29334
52	3471	29280
53	3532	29176
54	3589	29044
55	3651	28948
56	3713	28858
57	3774	28766
58	3837	28684
59	3902	28616
60	3963	28527
61	4022	28419
62	4084	28331
63	4145	28240
64	4213	28196
65	4276	28123
66	4351	28125
67	4409	28016
68	4471	27932
69	4532	27844
70	4593	27753
71	4661	27711
72	4725	27640
73	4785	27551
74	4845	27459
75	4908	27385
76	4975	27335
77	5050	27321
78	5116	27264
79	5178	27187
80	5239	27104
81	5301	27024
82	5362	26940
83	5431	26897
84	5497	26838
85	5559	26761
86	5620	26680
87	5679	26591
88	5741	26512
89	5808	26462
90	5872	26392
91	5932	26310
92	5993	26230
93	6054	26149
94	6113	26064
95	6179	26004
96	6249	25964
97	6317	25913
98	6376	25829
99	6437	25749
100	6497	25667
101	6559	25593
102	6632	25565
103	6697	25501
104	6758	25423
105	6820	25350
106	6881	25276
107	6943	25202
108	7003	25121
109	7066	25054
110	7129	24984
111	7189	24906
112	7254	24844
113	7314	24766
114	7380	24709
115	7444	24643
116	7518	24612
117	7582	24546
118	7645	24477
119	7708	24408
120	7772	24345
121	7807	24190
122	7867	24113
123	7929	24043
124	7990	23970
125	8050	23896
126	8112	23825
127	8178	23770
128	8244	23711
129	8307	23643
130	8369	23576
131	8430	23503
132	8489	23426
133	8553	23363
134	8615	23294
135	8679	23231
136	8703	23061
137	8762	22984
138	8823	22916
139	8882	22840
140	8942	22767
141	9007	22709
142	9067	22635
143	9128	22567
144	9190	22500
145	9251	22431
146	9310	22356
147	9374	22295
148	9439	22237
149	9501	22170
150	9564	22105
151	9626	22039
152	9688	21972
153	9750	21906
154	9817	21851
155	9876	21779
156	9937	21710
157	9998	21642
158	10059	21574
159	10121	21508
160	10190	21456
161	10249	21385
162	10310	21316
163	10372	21250
164	10432	21182
165	10496	21120
166	10562	21061
167	10626	21000
168	10686	20931
169	10744	20857
170	10802	20783
171	10863	20717
172	10924	20648
173	10991	20593
174	11059	20539
175	11122	20476
176	11183	20407
177	11243	20339
178	11305	20274
179	11370	20214
180	11434	20151
181	11496	20088
182	11559	20023
183	11616	19949
184	11676	19881
185	11741	19820
186	11817	19780
187	11883	19721
188	11944	19654
189	12001	19581
190	12064	19518
191	12126	19452
192	12193	19395
193	12266	19347
194	12326	19280
195	12387	19213
196	12447	19145
197	12515	19090
198	12581	19030
199	12647	18971
